Date,Price,Open,High,Low,Vol.,Change %
20-Aug-10,711.25,724.25,728.88,704.38,-,-1.74%
19-Aug-10,723.88,661.13,730.63,661,-,9.47%
18-Aug-10,661.25,655.88,665.13,645,-,0.92%
17-Aug-10,655.25,666.13,676.5,649.63,-,-1.61%
16-Aug-10,666,694.13,708.63,656.38,-,-4.10%
15-Aug-10,694.5,701.25,702.38,691.13,-,-0.94%
13-Aug-10,701.13,717.75,724.38,701.13,-,-2.23%
12-Aug-10,717.13,693,734.25,692.38,-,3.44%
11-Aug-10,693.25,705,709.38,680.63,-,-1.68%
10-Aug-10,705.13,709.88,718.13,690.38,-,-0.69%
09-Aug-10,710,693.38,737.88,686.88,-,2.43%
08-Aug-10,693.13,725.63,725.63,684.75,-,-4.61%
06-Aug-10,726.63,815.5,840.88,725.38,-,-10.91%
05-Aug-10,815.63,726.13,826.38,724.63,-,12.31%
04-Aug-10,726.25,679.25,731.63,678.38,-,6.90%
03-Aug-10,679.38,691.88,697.38,675.25,-,-1.97%
02-Aug-10,693,662.38,710.63,661.88,-,4.64%
01-Aug-10,662.25,660.75,663.88,657.75,-,0.13%
30-Jul-10,661.38,634.25,662.63,630.88,-,11.04%
27-Jul-10,595.63,585.75,601.75,582.63,-,1.62%
26-Jul-10,586.13,593.63,595.13,584.75,-,-1.70%
25-Jul-10,596.25,596.25,596.25,596.25,-,0.08%
23-Jul-10,595.75,593.75,603.5,593.38,-,0.36%
22-Jul-10,593.63,585.63,609.88,584,-,1.34%
21-Jul-10,585.75,575.63,593.88,574.25,-,1.78%
20-Jul-10,575.5,577.25,580.63,572.88,-,-0.41%
19-Jul-10,577.88,593.75,597.5,575.38,-,-2.65%
18-Jul-10,593.63,588.88,595.63,581.13,-,0.91%
16-Jul-10,588.25,597,597.38,579,-,-1.45%
15-Jul-10,596.88,556.25,598.38,555.63,-,7.18%
14-Jul-10,556.88,549.13,565.13,545.38,-,1.37%
13-Jul-10,549.38,533.63,550.88,530.88,-,2.98%
12-Jul-10,533.5,536.25,541.38,533.38,-,-0.54%
11-Jul-10,536.38,537.5,537.5,534.25,-,-0.28%
09-Jul-10,537.88,544.63,545.13,533.13,-,-1.22%
08-Jul-10,544.5,530,549,524.63,-,2.74%
07-Jul-10,530,507.25,531.88,506.25,-,4.48%
06-Jul-10,507.25,504.5,525.88,504.13,-,0.57%
05-Jul-10,504.38,502.63,504.38,500.13,-,0.35%
04-Jul-10,502.63,502.63,502.63,502.63,-,-0.15%
02-Jul-10,503.38,497.38,507.88,495.88,-,1.31%
01-Jul-10,496.88,479.38,503.63,475.38,-,3.68%
30-Jun-10,479.25,459.63,486.63,459.63,-,4.95%
29-Jun-10,456.63,457.75,459.88,455.13,-,-1.70%
28-Jun-10,464.5,467.88,468.13,459.63,-,-1.41%
25-Jun-10,471.13,478.25,478.88,470.38,-,-1.41%
24-Jun-10,477.88,478.25,483.63,474.88,-,0.45%
23-Jun-10,475.75,476.63,481.88,475.13,-,-0.08%
22-Jun-10,476.13,477.38,478.63,472.38,-,-0.26%
21-Jun-10,477.38,484.5,484.63,472.13,-,0.18%
18-Jun-10,476.5,477.63,485.88,475.25,-,-0.55%
17-Jun-10,479.13,460.63,479.13,453.75,-,3.96%
16-Jun-10,460.88,451.88,467.88,451.63,-,1.99%
15-Jun-10,451.88,450.88,456.13,446,-,0.11%
14-Jun-10,451.38,447,454.63,444,-,1.01%
13-Jun-10,446.88,442.63,447.63,441.63,-,1.53%
11-Jun-10,440.13,433.88,448.5,427.75,-,1.50%
10-Jun-10,433.63,427.38,437.38,427.25,-,1.46%
09-Jun-10,427.38,432.13,435.88,425.63,-,-1.16%
08-Jun-10,432.38,433.38,436.38,431.38,-,-0.17%
07-Jun-10,433.13,435.38,438.38,431.38,-,-0.57%
06-Jun-10,435.63,435.38,436.38,434.88,-,0.06%
04-Jun-10,435.38,443.88,444.13,435.38,-,-1.97%
03-Jun-10,444.13,444.25,447.75,440.75,-,-0.06%
02-Jun-10,444.38,451.38,454.38,442.13,-,-1.58%
01-Jun-10,451.5,458.25,461.13,449.13,-,-1.50%
31-May-10,458.38,458,459.38,457.13,-,0.16%
30-May-10,457.63,457.63,457.63,457.63,-,0.05%
28-May-10,457.38,469.88,473.38,456.63,-,-2.69%
27-May-10,470,461.63,473.13,461.38,-,1.81%
26-May-10,461.63,462.38,471.13,458.63,-,-0.19%
25-May-10,462.5,466.38,466.5,456.38,-,-0.78%
24-May-10,466.13,472.13,475.63,465.38,-,-1.30%
23-May-10,472.25,472.88,473.25,471.88,-,0.03%
21-May-10,472.13,467.75,474.88,466.88,-,1.07%
20-May-10,467.13,470.88,472,461.63,-,-0.77%
19-May-10,470.75,467,471.88,465.5,-,0.78%
18-May-10,467.13,469.88,473.38,466.13,-,-0.56%
17-May-10,469.75,471.13,474.13,466.38,-,-0.29%
16-May-10,471.13,471.13,471.38,470.63,-,-0.16%
14-May-10,471.88,480.88,481.13,471.13,-,-1.82%
